time,position,theta
0,1.5,-322.545
0.01,0.5,192.44
0.02,0.499425,-7.45138
0.03,0.498135,-7.30397
0.04,0.496272,-7.17616
0.05,0.493888,-7.05122
0.06,0.491047,-6.93188
0.07,0.487814,-6.81971
0.08,0.484256,-6.71574
0.09,0.480437,-6.62056
0.1,0.476416,-6.53433
0.11,0.47225,-6.45696
0.12,0.467989,-6.38816
0.13,0.463679,-6.32751
0.14,0.459359,-6.27451
0.15,0.455064,-6.22866
0.16,0.450823,-6.18942
0.17,0.446661,-6.15626
0.18,0.442599,-6.12866
0.19,0.438655,-6.10614
0.2,0.434842,-6.08823
0.21,0.431171,-6.07448
0.22,0.42765,-6.06448
0.23,0.424284,-6.05781
0.24,0.421078,-6.05411
0.25,0.418031,-6.05304
0.26,0.415145,-6.05424
0.27,0.412417,-6.05742
0.28,0.409845,-6.06229
0.29,0.407425,-6.06859
0.3,0.405153,-6.07606
0.31,0.403021,-6.08449
0.32,0.401025,-6.09366
0.33,0.399158,-6.10341
0.34,0.397413,-6.11354
0.35,0.395783,-6.12392
0.36,0.39426,-6.13441
0.37,0.392837,-6.1449
0.38,0.391508,-6.15529
0.39,0.390264,-6.1655
0.4,0.389099,-6.17544
0.41,0.388005,-6.18506
0.42,0.386978,-6.19431
0.43,0.386009,-6.20315
0.44,0.385093,-6.21155
0.45,0.384224,-6.21948
0.46,0.383397,-6.22695
0.47,0.382607,-6.23393
0.48,0.381848,-6.24042
0.49,0.381118,-6.24643
0.5,0.380411,-6.25198
0.51,0.379724,-6.25705
0.52,0.379054,-6.26167
0.53,0.378397,-6.26586
0.54,0.377751,-6.26964
0.55,0.377113,-6.27301
0.56,0.37648,-6.27601
0.57,0.375852,-6.27866
0.58,0.375226,-6.28098
0.59,0.374601,-6.28299
0.6,0.373975,-6.28471
0.61,0.373348,-6.28616
0.62,0.372718,-6.28738
0.63,0.372085,-6.28836
0.64,0.371447,-6.28915
0.65,0.370806,-6.28976
0.66,0.370159,-6.2902
0.67,0.369507,-6.29049
0.68,0.36885,-6.29066
0.69,0.368188,-6.29072
0.7,0.367521,-6.29067
0.71,0.366848,-6.29054
0.72,0.36617,-6.29034
0.73,0.365487,-6.29007
0.74,0.3648,-6.28975
0.75,0.364108,-6.2894
0.76,0.363412,-6.28902
0.77,0.362711,-6.2886
0.78,0.362008,-6.28817
0.79,0.3613,-6.28773
0.8,0.36059,-6.28729
0.81,0.359877,-6.28685
0.82,0.359162,-6.28641
0.83,0.358444,-6.28598
0.839999,0.357725,-6.28557
0.849999,0.357004,-6.28516
0.859999,0.356282,-6.28477
0.869999,0.355559,-6.28439
0.879999,0.354836,-6.28404
0.889999,0.354111,-6.28371
0.899999,0.353387,-6.28339
0.909999,0.352663,-6.2831
0.919999,0.351938,-6.28282
0.929999,0.351214,-6.28257
0.939999,0.350491,-6.28234
0.949999,0.349768,-6.28212
0.959999,0.349046,-6.28193
0.969999,0.348325,-6.28175
0.979999,0.347605,-6.2816
0.989999,0.346886,-6.28145
0.999999,0.346169,-6.28133
1.01,0.345453,-6.28122
1.02,0.344738,-6.28112
1.03,0.344025,-6.28104
1.04,0.343313,-6.28097
1.05,0.342603,-6.28091
1.06,0.341894,-6.28086
1.07,0.341187,-6.28082
1.08,0.340482,-6.28079
1.09,0.339779,-6.28077
1.1,0.339077,-6.28076
1.11,0.338377,-6.28075
1.12,0.337678,-6.28074
1.13,0.336981,-6.28074
1.14,0.336286,-6.28075
1.15,0.335593,-6.28076
1.16,0.334902,-6.28077
1.17,0.334212,-6.28078
1.18,0.333523,-6.2808
1.19,0.332837,-6.28082
1.2,0.332152,-6.28084
1.21,0.331469,-6.28087
1.22,0.330787,-6.28089
1.23,0.330107,-6.28091
1.24,0.329428,-6.28093
1.25,0.328751,-6.28096
1.26,0.328076,-6.28098
1.27,0.327402,-6.281
1.28,0.32673,-6.28102
1.29,0.326059,-6.28104
1.3,0.32539,-6.28106
1.31,0.324722,-6.28109
1.32,0.324056,-6.28111
1.33,0.323391,-6.28113
1.34,0.322727,-6.28114
1.35,0.322065,-6.28116
1.36,0.321405,-6.28117
1.37,0.320745,-6.28119
1.38,0.320088,-6.2812
1.39,0.319431,-6.28121
1.4,0.318776,-6.28123
1.41,0.318122,-6.28124
1.42,0.31747,-6.28125
1.43,0.316819,-6.28126
1.44,0.316169,-6.28127
1.45,0.315521,-6.28128
1.46,0.314874,-6.28129
1.47,0.314229,-6.2813
1.48,0.313584,-6.2813
1.49,0.312941,-6.28131
1.5,0.3123,-6.28132
1.51,0.311659,-6.28132
1.52,0.31102,-6.28133
1.53,0.310382,-6.28133
1.54,0.309746,-6.28133
1.55,0.309111,-6.28134
1.56,0.308477,-6.28134
1.57,0.307844,-6.28135
1.58,0.307213,-6.28135
1.59,0.306583,-6.28136
1.6,0.305954,-6.28136
1.61,0.305327,-6.28136
1.62,0.3047,-6.28136
1.63,0.304075,-6.28137
1.64,0.303452,-6.28137
1.65,0.302829,-6.28137
1.66,0.302208,-6.28138
1.67,0.301588,-6.28138
1.68,0.30097,-6.28139
1.69,0.300352,-6.28139
1.7,0.299736,-6.28139
1.71,0.299122,-6.28139
1.72,0.298508,-6.2814
1.73,0.297896,-6.2814
1.74,0.297285,-6.2814
1.75,0.296675,-6.28141
1.76,0.296066,-6.28141
1.77,0.295459,-6.28141
1.78,0.294853,-6.28141
1.79,0.294248,-6.28141
1.8,0.293645,-6.28142
1.81,0.293042,-6.28142
1.82,0.292441,-6.28143
1.83,0.291841,-6.28143
1.84,0.291243,-6.28143
1.85,0.290645,-6.28144
1.86,0.290049,-6.28144
1.87,0.289454,-6.28145
1.88,0.28886,-6.28144
1.89,0.288268,-6.28145
1.9,0.287676,-6.28145
1.91,0.287086,-6.28146
1.92,0.286497,-6.28146
1.93,0.28591,-6.28146
1.94,0.285323,-6.28147
1.95,0.284738,-6.28147
1.96,0.284154,-6.28147
1.97,0.283571,-6.28147
1.98,0.282989,-6.28148
1.99,0.282409,-6.28148
2,0.281829,-6.28149
2.01,0.281251,-6.28149
2.02,0.280674,-6.28149
2.03,0.280098,-6.2815
2.04,0.279524,-6.2815
2.05,0.27895,-6.2815
2.06,0.278378,-6.28151
2.07,0.277807,-6.28151
2.08,0.277237,-6.28151
2.09,0.276669,-6.28152
2.1,0.276101,-6.28152
2.11,0.275535,-6.28153
2.12,0.27497,-6.28153
2.13,0.274406,-6.28153
2.14,0.273843,-6.28154
2.15,0.273281,-6.28154
2.16,0.27272,-6.28154
2.17,0.272161,-6.28155
2.18,0.271603,-6.28155
2.19,0.271046,-6.28155
2.2,0.27049,-6.28156
2.21,0.269935,-6.28156
2.22,0.269381,-6.28156
2.23,0.268828,-6.28157
2.24,0.268277,-6.28157
2.25,0.267727,-6.28158
2.26,0.267177,-6.28157
2.27,0.266629,-6.28158
2.28,0.266082,-6.28158
2.29,0.265537,-6.28159
2.3,0.264992,-6.28159
2.31,0.264448,-6.28159
2.32,0.263906,-6.2816
2.33,0.263365,-6.2816
2.34,0.262824,-6.2816
2.35,0.262285,-6.28161
2.36,0.261747,-6.28161
2.37,0.26121,-6.28161
2.38,0.260674,-6.28162
2.39,0.26014,-6.28162
2.4,0.259606,-6.28162
2.41,0.259074,-6.28162
2.42,0.258542,-6.28163
2.43,0.258012,-6.28163
2.44,0.257482,-6.28163
2.45,0.256954,-6.28163
2.46,0.256427,-6.28164
2.47,0.255901,-6.28164
2.48,0.255376,-6.28164
2.49,0.254852,-6.28165
2.5,0.25433,-6.28166
2.51,0.253808,-6.28165
2.52,0.253287,-6.28166
2.53,0.252768,-6.28166
2.54,0.252249,-6.28167
2.55,0.251732,-6.28167
2.56,0.251215,-6.28167
2.57,0.2507,-6.28168
2.58,0.250186,-6.28168
2.59,0.249673,-6.28168
2.6,0.24916,-6.28168
2.61,0.248649,-6.28169
2.62,0.248139,-6.28169
2.63,0.24763,-6.28169
2.64,0.247122,-6.2817
2.65,0.246615,-6.2817
2.66,0.24611,-6.2817
2.67,0.245605,-6.28171
2.68,0.245101,-6.28171
2.69,0.244598,-6.28171
2.7,0.244096,-6.28172
2.71,0.243596,-6.28172
2.72,0.243096,-6.28172
2.73,0.242597,-6.28173
2.74,0.2421,-6.28173
2.75,0.241603,-6.28173
2.76,0.241108,-6.28173
2.77,0.240613,-6.28174
2.78,0.240119,-6.28174
2.79,0.239627,-6.28174
2.8,0.239135,-6.28174
2.81,0.238645,-6.28175
2.82,0.238155,-6.28175
2.83,0.237667,-6.28176
2.84,0.237179,-6.28176
2.85,0.236693,-6.28176
2.86,0.236207,-6.28176
2.87,0.235723,-6.28177
2.88,0.235239,-6.28177
2.89,0.234757,-6.28177
2.9,0.234275,-6.28177
2.91,0.233794,-6.28178
2.92,0.233315,-6.28178
2.93,0.232836,-6.28178
2.94,0.232359,-6.28179
2.95,0.231882,-6.28179
2.96,0.231406,-6.28179
2.97,0.230932,-6.28179
2.98,0.230458,-6.2818
2.99,0.229985,-6.2818
3,0.229513,-6.2818
3.01,0.229043,-6.28181
3.02,0.228573,-6.28181
3.03,0.228104,-6.28181
3.04,0.227636,-6.28181
3.05,0.227169,-6.28182
3.06,0.226703,-6.28182
3.07,0.226238,-6.28182
3.08,0.225774,-6.28183
3.09,0.225311,-6.28183
3.1,0.224849,-6.28183
3.11,0.224387,-6.28183
3.12,0.223927,-6.28184
3.13,0.223468,-6.28184
3.14,0.223009,-6.28184
3.15,0.222552,-6.28185
3.16,0.222095,-6.28185
3.17,0.22164,-6.28185
3.18,0.221185,-6.28185
3.19,0.220731,-6.28186
3.2,0.220279,-6.28186
3.21,0.219827,-6.28186
3.22,0.219376,-6.28186
3.23,0.218926,-6.28187
3.24,0.218477,-6.28187
3.25,0.218029,-6.28187
3.26,0.217581,-6.28187
3.27,0.217135,-6.28188
3.28,0.21669,-6.28188
